company,feature_years,target_year,true,pred_proba,pred_binary
2211,"[2021, 2022]",2023.0,0.0,0.989777,1
2212,"[2021, 2022]",2023.0,0.0,0.7783057,1
2213,"[2021, 2022]",2023.0,0.0,0.1784513,0
2215,"[2021, 2022]",2023.0,0.0,0.89998907,1
2216,"[2021, 2022]",2023.0,0.0,6.142294e-06,0
2218,"[2021, 2022]",2023.0,0.0,0.025233382,0
2221,"[2021, 2022]",2023.0,0.0,0.95892644,1
2222,"[2021, 2022]",2023.0,0.0,3.551613e-05,0
2223,"[2021, 2022]",2023.0,0.0,0.00020435585,0
2224,"[2021, 2022]",2023.0,0.0,0.10179409,0
2225,"[2021, 2022]",2023.0,0.0,0.9940805,1
2227,"[2021, 2022]",2023.0,0.0,0.9947153,1
2229,"[2021, 2022]",2023.0,0.0,0.9468031,1
2230,"[2021, 2022]",2023.0,0.0,0.10152586,0
2231,"[2021, 2022]",2023.0,0.0,0.7258436,1
2232,"[2021, 2022]",2023.0,0.0,0.57724774,1
